book,chapters,verses
Gen,50,1533
Exod,40,1213
Lev,27,859
Num,36,1288
Deut,34,959
Josh,24,658
Judg,21,618
Ruth,4,85
1Sam,31,810
2Sam,24,695
1Kgs,22,816
2Kgs,25,719
1Chr,29,942
2Chr,36,822
Ezra,10,280
Neh,13,406
Esth,10,167
Job,42,1070
Ps,150,2461
Prov,31,915
Eccl,12,222
Song,8,117
Isa,66,1292
Jer,52,1364
Lam,5,154
Ezek,48,1273
Dan,12,357
Hos,14,197
Joel,3,73
Amos,9,146
Obad,1,21
Jonah,4,48
Mic,7,105
Nah,3,47
Hab,3,56
Zeph,3,53
Hag,2,38
Zech,14,211
Mal,4,55
Matt,28,1071
Mark,16,678
Luke,24,1151
John,21,879
Acts,28,1007
Rom,16,433
1Cor,16,437
2Cor,13,257
Gal,6,149
Eph,6,155
Phil,4,104
Col,4,95
1Thess,5,89
2Thess,3,47
1Tim,6,113
2Tim,4,83
Titus,3,46
Phlm,1,25
Heb,13,303
Jas,5,108
1Pet,5,105
2Pet,3,61
Jude,1,25
1John,5,105
2John,1,13
3John,1,14
Rev,22,404
