Category,Query,Expected,Actual,Status,Latency (ms),Confidence,Reason,Description
"Standard References","John 3:16","John.3.16","John.3:16","PASS","1.00","0.95","Exact match","Classic verse reference"
"Standard References","Psalm 23:1","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","Full book name with verse"
"Standard References","Revelation 7:9-10","Rev.7.9","Rev.7:9","PASS","0.00","0.95","Exact match","Verse range in same chapter"
"Standard References","Genesis 1:1","Gen.1.1","Gen.1:1","PASS","0.00","0.95","Exact match","Beginning of Bible"
"Standard References","Matthew 5:3","Matt.5.3","Matt.5:3","PASS","0.00","0.95","Exact match","Beginning of NT"
"Chapter Only","1 Samuel 17","1Sam.17.1","1Sam.17:1","PASS","0.00","0.95","Exact match","Chapter-only reference (David and Goliath)"
"Chapter Only","Psalm 119","Ps.119.1","Ps.119:1","PASS","0.00","0.95","Exact match","Longest chapter reference"
"Chapter Only","Romans 8","Rom.8.1","Rom.8:1","PASS","0.00","0.95","Exact match","Popular chapter reference"
"Abbreviations","Jn 3:16","John.3.16","John.3:16","PASS","0.00","0.95","Exact match","Two-letter book abbreviation"
"Abbreviations","1 Co 13:4","1Cor.13.4","1Cor.13:4","PASS","0.00","0.95","Exact match","Numbered book abbreviation"
"Abbreviations","Psa 23:1","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","Three-letter abbreviation"
"Abbreviations","Gen 1:1","Gen.1.1","Gen.1:1","PASS","0.00","0.95","Exact match","Common abbreviation"
"Abbreviations","Matt 6:9","Matt.6.9","Matt.6:9","PASS","0.00","0.95","Exact match","NT abbreviation"
"Abbreviations","Phil 4:13","Phil.4.13","Phil.4:13","PASS","0.00","0.95","Exact match","Four-letter abbreviation"
"Abbreviations","1 Sam 16:7","1Sam.16.7","1Sam.16:7","PASS","0.00","0.95","Exact match","Abbreviated numbered book"
"Abbreviations","2 Tim 3:16","2Tim.3.16","2Tim.3:16","PASS","0.00","0.95","Exact match","Second Timothy abbreviation"
"OSIS Format","John.3.16","John.3.16","John.3:16","PASS","0.00","0.95","Exact match","OSIS dot notation"
"OSIS Format","Rev.7.9-10","Rev.7.9","Rev.7:9","PASS","0.00","0.95","Exact match","OSIS with range"
"OSIS Format","Ps.23.1","Ps.23.1","Ps.23:1","PASS","0.00","0.95","Exact match","OSIS Psalm format"
"OSIS Format","1Sam.17.45","1Sam.17.45","1Sam.17:45","PASS","0.00","0.95","Exact match","OSIS numbered book"
"Cross-Chapter Ranges","Isaiah 52:13-53:3","Isa.52.13","Isa.52:13","PASS","0.00","0.95","Exact match","Suffering servant prophecy"
